OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV781	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	
ASV782	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	pilosella
ASV783	Fungi						
ASV784	Fungi	Ascomycota					
ASV785	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Arthrocladium	tropicale
ASV786	Fungi	Ascomycota	Sordariomycetes	Conioscyphales	Conioscyphaceae	Conioscypha	
ASV787	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV788	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	similis
ASV789	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV790	Fungi	Ascomycota					
ASV791	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV792	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae		
ASV793	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae		
ASV794	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Periglandula	
ASV795	Fungi	Basidiomycota					
ASV796	Fungi	Ascomycota					
ASV797	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV798	Fungi						
ASV799	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales			
ASV800	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Pseudophialophora	
ASV801	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	oligospora
ASV802	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	marquandii
ASV803	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea	circinata
ASV804	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	terricola
ASV805	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthales_fam_Incertae_sedis	Leptosillia	muelleri
ASV806	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	opulenta
